,id,name,type,rarity,event,group,standard,new
dva-no-hacks-required,dva-no-hacks-required,No hacks required,voicelines,common,,,False,False
dva-im-1,dva-im-1,I'm #1,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
dva-happy-halloween,dva-happy-halloween,Happy Halloween!,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
dva-aw-you-shouldnt-have,dva-aw-you-shouldnt-have,"Aw, you shouldn't have",voicelines,common,WINTER_WONDERLAND_2016,,False,False
dva-the-best-things-in-life,dva-the-best-things-in-life,The best things in life,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-not-taking-me-seriously,dva-not-taking-me-seriously,Not taking me seriously,voicelines,common,UPRISING_2017,,False,False
dva-try-and-keep-up,dva-try-and-keep-up,Try and keep up,voicelines,common,UPRISING_2017,,False,False
dva-level-up,dva-level-up,Level up!,voicelines,common,ANNIVERSARY_2017,,False,False
dva-no-way,dva-no-way,No Way,voicelines,common,ANNIVERSARY_2017,,False,False
dva-scoreboard,dva-scoreboard,Scoreboard,voicelines,common,SUMMER_GAMES,,False,True
dva-im-not-scared,dva-im-not-scared,I'm not scared,voicelines,common,HALLOWEEN,,False,True
dva-bunny,dva-bunny,Bunny,icons,,,,False,False
dva-charm,dva-charm,Charm,icons,,,,False,False
dva-dva,dva-dva,D.Va,icons,,,,False,False
dva-law,dva-law,Law,icons,,,,False,False
dva-cycling,dva-cycling,Cycling,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
dva-hanbok,dva-hanbok,Hanbok,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-hanaversary,dva-hanaversary,Hanaversary,icons,,ANNIVERSARY_2017,,False,False
dva-heroic,dva-heroic,Heroic,emotes,common,,,True,False
dva-excited,dva-excited,^o^,emotes,epic,,,False,False
dva-bunny-hop,dva-bunny-hop,Bunny Hop,emotes,epic,,,False,False
dva-heartbreaker,dva-heartbreaker,heartbreaker,emotes,epic,,,False,False
dva-party-time,dva-party-time,Party Time,emotes,epic,,,False,False
dva-bow,dva-bow,Bow,emotes,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-dance,dva-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
dva-game-on,dva-game-on,Game On,emotes,legendary,,,False,False
dva-classic,dva-classic,Classic,skins,common,,,True,False
dva-blueberry,dva-blueberry,Blueberry,skins,rare,,,False,False
dva-lemonlime,dva-lemonlime,Lemon-Lime,skins,rare,,,False,False
dva-tangerine,dva-tangerine,Tangerine,skins,rare,,,False,False
dva-watermelon,dva-watermelon,Watermelon,skins,rare,,,False,False
dva-carbon-fiber,dva-carbon-fiber,Carbon Fiber,skins,epic,,,False,False
dva-white-rabbit,dva-white-rabbit,White Rabbit,skins,epic,,,False,False
dva-taegeukgi,dva-taegeukgi,Taegeukgi,skins,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
dva-bva,dva-bva,B.Va,skins,legendary,,,False,False
dva-junebug,dva-junebug,Junebug,skins,legendary,,,False,False
dva-junker,dva-junker,Junker,skins,legendary,,,False,False
dva-officer,dva-officer,Officer,skins,legendary,,,False,False
dva-scavenger,dva-scavenger,Scavenger,skins,legendary,,,False,False
dva-palanquin,dva-palanquin,Palanquin,skins,legendary,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-cruiser,dva-cruiser,Cruiser,skins,legendary,ANNIVERSARY_2017,,False,False
dva-bny,dva-bny,B.Ny,sprays,common,,,False,False
dva-badge,dva-badge,Badge,sprays,common,,,False,False
dva-bang,dva-bang,Bang,sprays,common,,,False,False
dva-bubble,dva-bubble,Bubble,sprays,common,,,False,False
dva-bubble-gum,dva-bubble-gum,Bubble Gum,sprays,common,,,False,False
dva-bunny-hop,dva-bunny-hop,Bunny Hop,sprays,common,,,False,False
dva-diva,dva-diva,Diva,sprays,common,,,False,False
dva-gg,dva-gg,GG,sprays,common,,,False,False
dva-hana,dva-hana,Hana,sprays,common,,,False,False
dva-headset,dva-headset,Headset,sprays,common,,,False,False
dva-heart,dva-heart,Heart,sprays,common,,,False,False
dva-icon,dva-icon,Icon,sprays,common,,,False,False
dva-light-gun,dva-light-gun,Light Gun,sprays,common,,,False,False
dva-love-dva,dva-love-dva,Love D.Va,sprays,common,,,False,False
dva-meka,dva-meka,MEKA,sprays,common,,,False,False
dva-nano-cola,dva-nano-cola,Nano Cola,sprays,common,,,False,False
dva-photo,dva-photo,Photo,sprays,common,,,False,False
dva-pixel-bunny,dva-pixel-bunny,Pixel Bunny,sprays,common,,,False,False
dva-power-up,dva-power-up,Power Up!,sprays,common,,,False,False
dva-salt,dva-salt,Salt,sprays,common,,,False,False
dva-star,dva-star,Star,sprays,common,,,False,False
dva-unload,dva-unload,Unload,sprays,common,,,False,False
dva-walk-of-fame,dva-walk-of-fame,Walk of Fame,sprays,common,,,False,False
dva-watching,dva-watching,Watching,sprays,common,,,False,False
dva-cycling,dva-cycling,Cycling,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
dva-trick-or-treat,dva-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
dva-cookie,dva-cookie,COOKIE,sprays,common,WINTER_WONDERLAND_2016,,False,False
dva-ornament,dva-ornament,ORNAMENT,sprays,common,WINTER_WONDERLAND_2016,,False,False
dva-dragon-dance,dva-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-seesaw,dva-seesaw,Seesaw,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-handheld,dva-handheld,Handheld,sprays,common,UPRISING_2017,,False,False
dva-ten-of-hearts,dva-ten-of-hearts,Ten of Hearts,sprays,common,ANNIVERSARY_2017,,False,False
dva-cute,dva-cute,Cute,sprays,common,,,False,False
dva-pixel,dva-pixel,Pixel,sprays,common,,,False,False
dva-heroic,dva-heroic,Heroic,intros,common,,,True,False
dva-eject,dva-eject,Eject,intros,epic,,,False,False
dva-lying-around,dva-lying-around,Lying Around,intros,epic,,,False,False
dva-meka-activated,dva-meka-activated,MEKA Activated,intros,epic,,,False,False
dva-selfie,dva-selfie,Selfie,intros,epic,UPRISING_2017,,False,False
dva-heroic,dva-heroic,Heroic,poses,common,,,True,False
dva-i-heart-you,dva-i-heart-you,I heart you,poses,rare,,,False,False
dva-peace,dva-peace,Peace,poses,rare,,,False,False
dva-sitting,dva-sitting,Sitting,poses,rare,,,False,False
dva-rip,dva-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
dva-festive,dva-festive,Festive,poses,rare,WINTER_WONDERLAND_2016,,False,False
dva-lucky-pouch,dva-lucky-pouch,Lucky Pouch,poses,rare,YEAR_OF_THE_ROOSTER_2017,,False,False
soldier-76-ive-still-got-it,soldier-76-ive-still-got-it,I've still got it,voicelines,common,,,True,False
soldier-76-get-off-my-lawn,soldier-76-get-off-my-lawn,Get off my lawn,voicelines,common,,,False,False
soldier-76-i-didnt-start-this-war,soldier-76-i-didnt-start-this-war,I didn't start this war...,voicelines,common,,,False,False
soldier-76-im-an-army-of-one,soldier-76-im-an-army-of-one,I'm an army of one,voicelines,common,,,False,False
soldier-76-not-on-my-watch,soldier-76-not-on-my-watch,Not on my watch,voicelines,common,,,False,False
soldier-76-old-soldiers,soldier-76-old-soldiers,Old soldiers,voicelines,common,,,False,False
soldier-76-smells-like-victory,soldier-76-smells-like-victory,Smells like victory,voicelines,common,,,False,False
soldier-76-thats-sir-to-you,soldier-76-thats-sir-to-you,"That's ""sir"" to you",voicelines,common,,,False,False
soldier-76-what-are-you-lookin-at,soldier-76-what-are-you-lookin-at,What are you lookin' at?,voicelines,common,,,False,False
soldier-76-you-didnt-make-the-cut,soldier-76-you-didnt-make-the-cut,You didn't make the cut,voicelines,common,,,False,False
soldier-76-youre-the-other-one,soldier-76-youre-the-other-one,You're the other one,voicelines,common,,,False,False
soldier-76-you-want-a-medal,soldier-76-you-want-a-medal,You want a medal?,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
soldier-76-knock-knock,soldier-76-knock-knock,Knock knock,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
soldier-76-stay-frosty,soldier-76-stay-frosty,Stay frosty,voicelines,common,WINTER_WONDERLAND_2016,,False,False
soldier-76-the-rooster-crows,soldier-76-the-rooster-crows,The rooster crows,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
soldier-76-not-getting-any-younger,soldier-76-not-getting-any-younger,Not getting any younger,voicelines,common,UPRISING_2017,,False,False
soldier-76-whatever-you-say,soldier-76-whatever-you-say,Whatever you say,voicelines,common,UPRISING_2017,,False,False
soldier-76-im-not-your-father,soldier-76-im-not-your-father,I'm not your father,voicelines,common,ANNIVERSARY_2017,,False,False
soldier-76-youre-the-boss,soldier-76-youre-the-boss,You're the boss,voicelines,common,ANNIVERSARY_2017,,False,False
soldier-76-bring-the-noise,soldier-76-bring-the-noise,Bring the noise,voicelines,common,SUMMER_GAMES,,False,True
soldier-76-trick-or-treat,soldier-76-trick-or-treat,Trick or treat,voicelines,common,HALLOWEEN,,False,True
soldier-76-76,soldier-76-76,76,icons,,,,False,False
soldier-76-soldier-76,soldier-76-soldier-76,Soldier: 76,icons,,,,False,False
soldier-76-strike-commander,soldier-76-strike-commander,Strike Commander,icons,,,,False,False
soldier-76-golf,soldier-76-golf,Golf,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
soldier-76-gold-soldier,soldier-76-gold-soldier,Gold Soldier,icons,,ANNIVERSARY_2017,,False,False
soldier-76-heroic,soldier-76-heroic,Heroic,emotes,common,,,True,False
soldier-76-amused,soldier-76-amused,Amused,emotes,epic,,,False,False
soldier-76-fist,soldier-76-fist,Fist,emotes,epic,,,False,False
soldier-76-i-see-you,soldier-76-i-see-you,I see you,emotes,epic,,,False,False
soldier-76-locked-and-loaded,soldier-76-locked-and-loaded,Locked and Loaded,emotes,epic,,,False,False
soldier-76-take-a-knee,soldier-76-take-a-knee,Take a Knee,emotes,epic,,,False,False
soldier-76-pushups,soldier-76-pushups,Push-ups,emotes,epic,UPRISING_2017,,False,False
soldier-76-dance,soldier-76-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
soldier-76-classic,soldier-76-classic,Classic,skins,common,,,True,False
soldier-76-jet,soldier-76-jet,Jet,skins,rare,,,False,False
soldier-76-olive,soldier-76-olive,Olive,skins,rare,,,False,False
soldier-76-russet,soldier-76-russet,Russet,skins,rare,,,False,False
soldier-76-smoke,soldier-76-smoke,Smoke,skins,rare,,,False,False
soldier-76-bone,soldier-76-bone,Bone,skins,epic,,,False,False
soldier-76-golden,soldier-76-golden,Golden,skins,epic,,,False,False
soldier-76-immortal,soldier-76-immortal,Immortal,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
soldier-76-commando-76,soldier-76-commando-76,Commando: 76,skins,legendary,,,False,False
soldier-76-daredevil-76,soldier-76-daredevil-76,Daredevil: 76,skins,legendary,,,False,False
soldier-76-night-ops-76,soldier-76-night-ops-76,Night Ops: 76,skins,legendary,,,False,False
soldier-76-stunt-rider-76,soldier-76-stunt-rider-76,Stunt Rider: 76,skins,legendary,,,False,False
soldier-76-cyborg-76,soldier-76-cyborg-76,Cyborg: 76,skins,legendary,ANNIVERSARY_2017,,False,False
soldier-76-grillmaster-76,soldier-76-grillmaster-76,Grillmaster: 76,skins,legendary,SUMMER_GAMES,,False,True
soldier-76-strike-commander-morrison,soldier-76-strike-commander-morrison,Strike Commander Morrison,skins,legendary,,,False,False
soldier-76-76,soldier-76-76,76,sprays,common,,,False,False
soldier-76-all-soldiers,soldier-76-all-soldiers,All Soldiers,sprays,common,,,False,False
soldier-76-american-hero,soldier-76-american-hero,American Hero,sprays,common,,,False,False
soldier-76-coin,soldier-76-coin,Coin,sprays,common,,,False,False
soldier-76-grave,soldier-76-grave,Grave,sprays,common,,,False,False
soldier-76-grizzled,soldier-76-grizzled,Grizzled,sprays,common,,,False,False
soldier-76-heal-up,soldier-76-heal-up,Heal Up,sprays,common,,,False,False
soldier-76-helix,soldier-76-helix,Helix,sprays,common,,,False,False
soldier-76-hooah,soldier-76-hooah,Hooah,sprays,common,,,False,False
soldier-76-icon,soldier-76-icon,Icon,sprays,common,,,False,False
soldier-76-jacket-76,soldier-76-jacket-76,Jacket: 76,sprays,common,,,False,False
soldier-76-move,soldier-76-move,Move!,sprays,common,,,False,False
soldier-76-muzzle,soldier-76-muzzle,Muzzle,sprays,common,,,False,False
soldier-76-old-soldier,soldier-76-old-soldier,Old Soldier,sprays,common,,,False,False
soldier-76-pulse-rifle,soldier-76-pulse-rifle,Pulse Rifle,sprays,common,,,False,False
soldier-76-resolute,soldier-76-resolute,Resolute,sprays,common,,,False,False
soldier-76-rifle-76,soldier-76-rifle-76,Rifle: 76,sprays,common,,,False,False
soldier-76-rockets,soldier-76-rockets,Rockets,sprays,common,,,False,False
soldier-76-salute,soldier-76-salute,Salute,sprays,common,,,False,False
soldier-76-strike-commander,soldier-76-strike-commander,Strike Commander,sprays,common,,,False,False
soldier-76-vigilante,soldier-76-vigilante,Vigilante,sprays,common,,,False,False
soldier-76-visor,soldier-76-visor,Visor,sprays,common,,,False,False
soldier-76-wanted,soldier-76-wanted,Wanted,sprays,common,,,False,False
soldier-76-golf,soldier-76-golf,Golf,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
soldier-76-trick-or-treat,soldier-76-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
soldier-76-army-man-76,soldier-76-army-man-76,Army Man: 76,sprays,common,WINTER_WONDERLAND_2016,,False,False
soldier-76-ornament,soldier-76-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
soldier-76-dragon-dance,soldier-76-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
soldier-76-folded-hands,soldier-76-folded-hands,Folded Hands,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
soldier-76-commando,soldier-76-commando,Commando,sprays,common,UPRISING_2017,,False,False
soldier-76-ace-of-spades,soldier-76-ace-of-spades,Ace of Spades,sprays,common,ANNIVERSARY_2017,,False,False
soldier-76-cute,soldier-76-cute,Cute,sprays,common,,,False,False
soldier-76-pixel,soldier-76-pixel,Pixel,sprays,common,,,False,False
soldier-76-heroic,soldier-76-heroic,Heroic,intros,common,,,True,False
soldier-76-helix,soldier-76-helix,HELIX,intros,epic,,,False,False
soldier-76-looking-at-you,soldier-76-looking-at-you,Looking at You,intros,epic,,,False,False
soldier-76-target-rich-environment,soldier-76-target-rich-environment,Target Rich Environment,intros,epic,,,False,False
soldier-76-heroic,soldier-76-heroic,Heroic,poses,common,,,True,False
soldier-76-fist-pump,soldier-76-fist-pump,Fist Pump,poses,rare,,,False,False
soldier-76-locked-and-loaded,soldier-76-locked-and-loaded,Locked and Loaded,poses,rare,,,False,False
soldier-76-soldier,soldier-76-soldier,Soldier,poses,rare,,,False,False
soldier-76-golf-swing,soldier-76-golf-swing,Golf Swing,poses,rare,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
soldier-76-rip,soldier-76-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
soldier-76-toast,soldier-76-toast,Toast,poses,rare,WINTER_WONDERLAND_2016,,False,False
reaper-what-are-you-looking-at,reaper-what-are-you-looking-at,What are you looking at,voicelines,common,,,True,False
reaper-dead-man-walking,reaper-dead-man-walking,Dead man walking,voicelines,common,,,False,False
reaper-give-me-a-break,reaper-give-me-a-break,Give me a break,voicelines,common,,,False,False
reaper-havent-i-killed-you,reaper-havent-i-killed-you,Haven't I killed you,voicelines,common,,,False,False
reaper-im-back-in-black,reaper-im-back-in-black,I'm back in black,voicelines,common,,,False,False
reaper-if-it-lives-i-can-kill-it,reaper-if-it-lives-i-can-kill-it,"If it lives, I can kill it",voicelines,common,,,False,False
reaper-next,reaper-next,Next,voicelines,common,,,False,False
reaper-psychopath,reaper-psychopath,Psychopath,voicelines,common,,,False,False
reaper-seen-a-ghost,reaper-seen-a-ghost,Seen a ghost?,voicelines,common,,,False,False
reaper-too-easy,reaper-too-easy,Too easy,voicelines,common,,,False,False
reaper-was-that-all,reaper-was-that-all,Was that all?,voicelines,common,,,False,False
reaper-its-in-the-refrigerator,reaper-its-in-the-refrigerator,It's in the refrigerator,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reaper-i-work-the-graveyard-shift,reaper-i-work-the-graveyard-shift,I work the graveyard shift,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-holiday-spirit,reaper-holiday-spirit,Holiday spirit,voicelines,common,WINTER_WONDERLAND_2016,,False,False
reaper-now-those-are-fireworks,reaper-now-those-are-fireworks,Now those are fireworks,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reaper-amateur-hour,reaper-amateur-hour,Amateur hour,voicelines,common,UPRISING_2017,,False,False
reaper-moving-on,reaper-moving-on,Moving on,voicelines,common,UPRISING_2017,,False,False
reaper-ill-see-you-in-hell,reaper-ill-see-you-in-hell,I'll see you in hell,voicelines,common,ANNIVERSARY_2017,,False,False
reaper-no-one-left-behind,reaper-no-one-left-behind,No one left behind,voicelines,common,ANNIVERSARY_2017,,False,False
reaper-just-win,reaper-just-win,Just win,voicelines,common,SUMMER_GAMES,,False,True
reaper-things-are-looking-grim,reaper-things-are-looking-grim,Things are looking grim,voicelines,common,HALLOWEEN,,False,True
reaper-emblem,reaper-emblem,Emblem,icons,,,,False,False
reaper-reaper,reaper-reaper,Reaper,icons,,,,False,False
reaper-soul,reaper-soul,Soul,icons,,,,False,False
reaper-bmx,reaper-bmx,BMX,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reaper-the-reaper,reaper-the-reaper,The Reaper,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-reapiversary,reaper-reapiversary,Reapiversary,icons,,ANNIVERSARY_2017,,False,False
reaper-dracula,reaper-dracula,Dracula,icons,,HALLOWEEN,,False,True
reaper-heroic,reaper-heroic,Heroic,emotes,common,,,True,False
reaper-cackle,reaper-cackle,Cackle,emotes,epic,,,False,False
reaper-not-impressed,reaper-not-impressed,Not Impressed,emotes,epic,,,False,False
reaper-shrug,reaper-shrug,Shrug,emotes,epic,,,False,False
reaper-slice,reaper-slice,Slice,emotes,epic,,,False,False
reaper-slow-clap,reaper-slow-clap,Slow Clap,emotes,epic,,,False,False
reaper-take-a-knee,reaper-take-a-knee,Take a knee,emotes,epic,,,False,False
reaper-dance,reaper-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
reaper-classic,reaper-classic,Classic,skins,common,,,True,False
reaper-blood,reaper-blood,Blood,skins,rare,,,False,False
reaper-midnight,reaper-midnight,Midnight,skins,rare,,,False,False
reaper-moss,reaper-moss,Moss,skins,rare,,,False,False
reaper-royal,reaper-royal,Royal,skins,rare,,,False,False
reaper-desert,reaper-desert,Desert,skins,epic,,,False,False
reaper-wight,reaper-wight,Wight,skins,epic,,,False,False
reaper-shiver,reaper-shiver,Shiver,skins,epic,WINTER_WONDERLAND_2016,,False,False
reaper-el-blanco,reaper-el-blanco,El Blanco,skins,legendary,,,False,False
reaper-mariachi,reaper-mariachi,Mariachi,skins,legendary,,,False,False
reaper-nevermore,reaper-nevermore,Nevermore,skins,legendary,,,False,False
reaper-plague-doctor,reaper-plague-doctor,Plague Doctor,skins,legendary,,,False,False
reaper-pumpkin,reaper-pumpkin,Pumpkin,skins,legendary,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-biker,reaper-biker,Biker,skins,legendary,SUMMER_GAMES,,False,True
reaper-dracula,reaper-dracula,Dracula,skins,legendary,HALLOWEEN,,False,True
reaper-blackwatch-reyes,reaper-blackwatch-reyes,Blackwatch Reyes,skins,legendary,,,False,False
reaper-blackwatch,reaper-blackwatch,Blackwatch,sprays,common,,,False,False
reaper-blossom,reaper-blossom,Blossom,sprays,common,,,False,False
reaper-cloaked,reaper-cloaked,Cloaked,sprays,common,,,False,False
reaper-death-blossom,reaper-death-blossom,Death Blossom,sprays,common,,,False,False
reaper-death-comes,reaper-death-comes,Death Comes,sprays,common,,,False,False
reaper-die-die-die,reaper-die-die-die,Die Die Die,sprays,common,,,False,False
reaper-everywhere,reaper-everywhere,Everywhere,sprays,common,,,False,False
reaper-grave,reaper-grave,Grave,sprays,common,,,False,False
reaper-hellfire,reaper-hellfire,Hellfire,sprays,common,,,False,False
reaper-hooded,reaper-hooded,Hooded,sprays,common,,,False,False
reaper-horns,reaper-horns,Horns,sprays,common,,,False,False
reaper-icon,reaper-icon,Icon,sprays,common,,,False,False
reaper-oops,reaper-oops,Oops,sprays,common,,,False,False
reaper-psst,reaper-psst,Psst,sprays,common,,,False,False
reaper-reap-on,reaper-reap-on,Reap On,sprays,common,,,False,False
reaper-reaping,reaper-reaping,Reaping,sprays,common,,,False,False
reaper-revenge,reaper-revenge,Revenge,sprays,common,,,False,False
reaper-scythes,reaper-scythes,Scythes,sprays,common,,,False,False
reaper-shadow,reaper-shadow,Shadow,sprays,common,,,False,False
reaper-shadow-step,reaper-shadow-step,Shadow Step,sprays,common,,,False,False
reaper-shrug,reaper-shrug,Shrug,sprays,common,,,False,False
reaper-silent,reaper-silent,Silent,sprays,common,,,False,False
reaper-soul-globe,reaper-soul-globe,Soul Globe,sprays,common,,,False,False
reaper-time-to-kill,reaper-time-to-kill,Time to Kill,sprays,common,,,False,False
reaper-bmx,reaper-bmx,BMX,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reaper-trick-or-treat,reaper-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-ornament,reaper-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
reaper-stocking,reaper-stocking,Stocking,sprays,common,WINTER_WONDERLAND_2016,,False,False
reaper-dragon-dance,reaper-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reaper-fire-blossom,reaper-fire-blossom,Fire Blossom,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reaper-commando,reaper-commando,Commando,sprays,common,UPRISING_2017,,False,False
reaper-ace-of-clubs,reaper-ace-of-clubs,Ace of Clubs,sprays,common,ANNIVERSARY_2017,,False,False
reaper-cute,reaper-cute,Cute,sprays,common,,,False,False
reaper-pixel,reaper-pixel,Pixel,sprays,common,,,False,False
reaper-heroic,reaper-heroic,Heroic,intros,common,,,True,False
reaper-death-blossom,reaper-death-blossom,Death Blossom,intros,epic,,,False,False
reaper-executioner,reaper-executioner,Executioner,intros,epic,,,False,False
reaper-shadow-step,reaper-shadow-step,SHADOW STEP,intros,epic,,,False,False
reaper-eternal-rest,reaper-eternal-rest,Eternal Rest,intros,epic,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-heroic,reaper-heroic,Heroic,poses,common,,,True,False
reaper-casual,reaper-casual,Casual,poses,rare,,,False,False
reaper-enigmatic,reaper-enigmatic,Enigmatic,poses,rare,,,False,False
reaper-menacing,reaper-menacing,Menacing,poses,rare,,,False,False
reaper-shrug,reaper-shrug,Shrug,poses,rare,,,False,False
reaper-medal,reaper-medal,Medal,poses,rare,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reaper-rip,reaper-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
zenyatta-we-are-in-harmony,zenyatta-we-are-in-harmony,We are in harmony,voicelines,common,,,True,False
zenyatta-death-is-whimsical-today,zenyatta-death-is-whimsical-today,Death is whimsical today,voicelines,common,,,False,False
zenyatta-do-i-think,zenyatta-do-i-think,Do I think?,voicelines,common,,,False,False
zenyatta-free-your-mind,zenyatta-free-your-mind,Free your mind,voicelines,common,,,False,False
zenyatta-hello-world,zenyatta-hello-world,"Hello, world!",voicelines,common,,,False,False
zenyatta-i-dreamt-i-was-a-butterfly,zenyatta-i-dreamt-i-was-a-butterfly,I dreamt I was a butterfly,voicelines,common,,,False,False
zenyatta-i-think-therefore-i-am,zenyatta-i-think-therefore-i-am,"I think, therefore I am",voicelines,common,,,False,False
zenyatta-i-will-not-juggle,zenyatta-i-will-not-juggle,I will not juggle,voicelines,common,,,False,False
zenyatta-ones-and-zeroes,zenyatta-ones-and-zeroes,Ones and zeroes,voicelines,common,,,False,False
zenyatta-peace-and-blessings,zenyatta-peace-and-blessings,Peace and blessings,voicelines,common,,,False,False
zenyatta-the-iris-embraces-you,zenyatta-the-iris-embraces-you,The iris embraces you,voicelines,common,,,False,False
zenyatta-strive-for-improvement,zenyatta-strive-for-improvement,Strive for improvement,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zenyatta-trick-or-treat,zenyatta-trick-or-treat,Trick or treat?,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
zenyatta-no-snowflake,zenyatta-no-snowflake,No snowflake,voicelines,common,WINTER_WONDERLAND_2016,,False,False
zenyatta-every-rooster-crows,zenyatta-every-rooster-crows,Every rooster crows,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
zenyatta-path-to-enlightenment,zenyatta-path-to-enlightenment,Path to enlightenment,voicelines,common,UPRISING_2017,,False,False
zenyatta-where-youre-headed,zenyatta-where-youre-headed,Where you're headed,voicelines,common,UPRISING_2017,,False,False
zenyatta-existence-is-mysterious,zenyatta-existence-is-mysterious,Existence is mysterious,voicelines,common,ANNIVERSARY_2017,,False,False
zenyatta-how-disappointing,zenyatta-how-disappointing,How disappointing,voicelines,common,ANNIVERSARY_2017,,False,False
zenyatta-form-is-temporary,zenyatta-form-is-temporary,Form is temporary,voicelines,common,SUMMER_GAMES,,False,True
zenyatta-frightening,zenyatta-frightening,Frightening,voicelines,common,HALLOWEEN,,False,True
zenyatta-harmony,zenyatta-harmony,Harmony,icons,,,,False,False
zenyatta-meditation,zenyatta-meditation,Meditation,icons,,,,False,False
zenyatta-zenyatta,zenyatta-zenyatta,Zenyatta,icons,,,,False,False
zenyatta-taekwondo,zenyatta-taekwondo,Taekwondo,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zenyatta-nutcracker,zenyatta-nutcracker,Nutcracker,icons,,WINTER_WONDERLAND_2016,,False,False
zenyatta-sanzang,zenyatta-sanzang,Sanzang,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
zenyatta-zeniversary,zenyatta-zeniversary,Zeniversary,icons,,ANNIVERSARY_2017,,False,False
zenyatta-cultist,zenyatta-cultist,Cultist,icons,,HALLOWEEN,,False,True
zenyatta-heroic,zenyatta-heroic,Heroic,emotes,common,,,True,False
zenyatta-focusing,zenyatta-focusing,Focusing,emotes,epic,,,False,False
zenyatta-meditate,zenyatta-meditate,Meditate,emotes,epic,,,False,False
zenyatta-round-of-applause,zenyatta-round-of-applause,Round of Applause,emotes,epic,,,False,False
zenyatta-taunt,zenyatta-taunt,Taunt,emotes,epic,,,False,False
zenyatta-tickled,zenyatta-tickled,Tickled,emotes,epic,,,False,False
zenyatta-dance,zenyatta-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
zenyatta-classic,zenyatta-classic,Classic,skins,common,,,True,False
zenyatta-air,zenyatta-air,Air,skins,rare,,,False,False
zenyatta-earth,zenyatta-earth,Earth,skins,rare,,,False,False
zenyatta-leaf,zenyatta-leaf,Leaf,skins,rare,,,False,False
zenyatta-water,zenyatta-water,Water,skins,rare,,,False,False
zenyatta-ascendant,zenyatta-ascendant,Ascendant,skins,epic,,,False,False
zenyatta-harmonious,zenyatta-harmonious,Harmonious,skins,epic,,,False,False
